lambda1_v,lambda0_w,psnr,ssim
0.0,0.0,23.997573852539062,0.6220754981040955
0.0,0.01,23.997573852539062,0.6220754981040955
0.0,0.02,23.997573852539062,0.6220754981040955
0.0,0.03,23.997573852539062,0.6220754981040955
0.0,0.04,23.997573852539062,0.6220754981040955
0.0,0.05,23.997573852539062,0.6220754981040955
0.0,0.06,23.997573852539062,0.6220754981040955
0.0,0.07,23.997573852539062,0.6220754981040955
0.0,0.08,23.997573852539062,0.6220754981040955
0.0,0.09,23.997573852539062,0.6220754981040955
0.0,0.1,23.997573852539062,0.6220754981040955
0.0,0.11,23.997573852539062,0.6220754981040955
0.0,0.12,23.997573852539062,0.6220754981040955
0.0,0.13,23.997573852539062,0.6220754981040955
0.0,0.14,23.997573852539062,0.6220754981040955
0.0,0.15,23.997573852539062,0.6220754981040955
0.0,0.16,23.997573852539062,0.6220754981040955
0.0,0.17,23.997573852539062,0.6220754981040955
0.0,0.18,23.997573852539062,0.6220754981040955
0.0,0.19,23.997573852539062,0.6220754981040955
0.0,0.2,23.997573852539062,0.6220754981040955
0.01,0.0,23.995786666870117,0.622055172920227
0.01,0.01,25.531295776367188,0.7161633372306824
0.01,0.02,25.653505325317383,0.7204217314720154
0.01,0.03,25.542293548583984,0.711759090423584
0.01,0.04,25.469743728637695,0.7063154578208923
0.01,0.05,25.44040870666504,0.7045059204101562
0.01,0.06,25.42279815673828,0.7035499215126038
0.01,0.07,25.418643951416016,0.7032623291015625
0.01,0.08,25.417945861816406,0.7031959295272827
0.01,0.09,25.41790771484375,0.7032052278518677
0.01,0.1,25.41790771484375,0.7032051682472229
0.01,0.11,25.41790771484375,0.7032051682472229
0.01,0.12,25.41790771484375,0.7032051682472229
0.01,0.13,25.41790771484375,0.7032051682472229
0.01,0.14,25.41790771484375,0.7032051682472229
0.01,0.15,25.41790771484375,0.7032051682472229
0.01,0.16,25.41790771484375,0.7032051682472229
0.01,0.17,25.41790771484375,0.7032051682472229
0.01,0.18,25.41790771484375,0.7032051682472229
0.01,0.19,25.41790771484375,0.7032051682472229
0.01,0.2,25.41790771484375,0.7032051682472229
0.02,0.0,23.995786666870117,0.622055172920227
0.02,0.01,25.396411895751953,0.7110936641693115
0.02,0.02,25.385845184326172,0.7137351036071777
0.02,0.03,25.338459014892578,0.7112600803375244
0.02,0.04,25.261396408081055,0.7055690884590149
0.02,0.05,25.187942504882812,0.6994234919548035
0.02,0.06,25.13433265686035,0.6941787600517273
0.02,0.07,25.078126907348633,0.6901823282241821
0.02,0.08,25.037111282348633,0.6874934434890747
0.02,0.09,25.01483726501465,0.6861678957939148
0.02,0.1,25.00023078918457,0.6852697730064392
0.02,0.11,24.99243927001953,0.684802234172821
0.02,0.12,24.988494873046875,0.6845840215682983
0.02,0.13,24.98757553100586,0.6845256090164185
0.02,0.14,24.98744773864746,0.6845311522483826
0.02,0.15,24.987415313720703,0.6845369338989258
0.02,0.16,24.98741340637207,0.6845366358757019
0.02,0.17,24.98741340637207,0.6845366358757019
0.02,0.18,24.98741340637207,0.6845366358757019
0.02,0.19,24.98741340637207,0.6845366358757019
0.02,0.2,24.98741340637207,0.6845366358757019
0.03,0.0,23.995786666870117,0.6220551133155823
0.03,0.01,25.388959884643555,0.7108578085899353
0.03,0.02,25.29932403564453,0.7106016278266907
0.03,0.03,25.128103256225586,0.7036331295967102
0.03,0.04,24.98546600341797,0.6968080997467041
0.03,0.05,24.876916885375977,0.6902084350585938
0.03,0.06,24.793949127197266,0.684730052947998
0.03,0.07,24.728395462036133,0.680079996585846
0.03,0.08,24.686864852905273,0.6760624647140503
0.03,0.09,24.654582977294922,0.6727011799812317
0.03,0.1,24.6257266998291,0.670347273349762
0.03,0.11,24.592763900756836,0.6682469248771667
0.03,0.12,24.563880920410156,0.6665644645690918
0.03,0.13,24.541574478149414,0.6653211712837219
0.03,0.14,24.528640747070312,0.6645646691322327
0.03,0.15,24.523292541503906,0.664243757724762
0.03,0.16,24.52058982849121,0.6640852689743042
0.03,0.17,24.518098831176758,0.6639378070831299
0.03,0.18,24.51734161376953,0.663884699344635
0.03,0.19,24.51712417602539,0.6638782620429993
0.03,0.2,24.5170841217041,0.6638737320899963
0.04,0.0,23.995786666870117,0.6220551133155823
0.04,0.01,25.38775062561035,0.710813581943512
0.04,0.02,25.28274154663086,0.7100457549095154
0.04,0.03,25.071414947509766,0.7017589211463928
0.04,0.04,24.8691349029541,0.6928041577339172
0.04,0.05,24.700674057006836,0.6844998598098755
0.04,0.06,24.56764030456543,0.6772552132606506
0.04,0.07,24.463531494140625,0.6712927222251892
0.04,0.08,24.388490676879883,0.6670033931732178
0.04,0.09,24.317203521728516,0.6623436808586121
0.04,0.1,24.271041870117188,0.658577024936676
0.04,0.11,24.245542526245117,0.6556904315948486
0.04,0.12,24.2227840423584,0.6532386541366577
0.04,0.13,24.19507598876953,0.650989294052124
0.04,0.14,24.166996002197266,0.6492504477500916
0.04,0.15,24.142658233642578,0.6478400826454163
0.04,0.16,24.123912811279297,0.6467794179916382
0.04,0.17,24.11176109313965,0.6460666656494141
0.04,0.18,24.104881286621094,0.6455952525138855
0.04,0.19,24.10124397277832,0.6453441977500916
0.04,0.2,24.09838104248047,0.6451734304428101
0.05,0.0,23.995786666870117,0.6220551133155823
0.05,0.01,25.387723922729492,0.7108117341995239
0.05,0.02,25.28141212463379,0.7099802494049072
0.05,0.03,25.06156349182129,0.7014591693878174
0.05,0.04,24.836017608642578,0.6916633248329163
0.05,0.05,24.634584426879883,0.6821361184120178
0.05,0.06,24.462493896484375,0.6735925078392029
0.05,0.07,24.326425552368164,0.6667298078536987
0.05,0.08,24.206439971923828,0.660730242729187
0.05,0.09,24.097755432128906,0.6550013422966003
0.05,0.1,24.02290153503418,0.6505968570709229
0.05,0.11,23.966821670532227,0.6469243764877319
0.05,0.12,23.92686653137207,0.643901526927948
0.05,0.13,23.896556854248047,0.6413131356239319
0.05,0.14,23.868886947631836,0.6390370726585388
0.05,0.15,23.842878341674805,0.6371033191680908
0.05,0.16,23.819095611572266,0.635606586933136
0.05,0.17,23.799034118652344,0.6344678401947021
0.05,0.18,23.780393600463867,0.6333421468734741
0.05,0.19,23.766658782958984,0.6324793696403503
0.05,0.2,23.757335662841797,0.6318991780281067
0.06,0.0,23.995786666870117,0.622055172920227
0.06,0.01,25.38772201538086,0.7108117341995239
0.06,0.02,25.28112030029297,0.7099667191505432
0.06,0.03,25.058666229248047,0.7013293504714966
0.06,0.04,24.828994750976562,0.6914424896240234
0.06,0.05,24.613431930541992,0.6814213991165161
0.06,0.06,24.423599243164062,0.6721906661987305
0.06,0.07,24.261383056640625,0.6643476486206055
0.06,0.08,24.123437881469727,0.6577432155609131
0.06,0.09,23.9992618560791,0.6512244939804077
0.06,0.1,23.888193130493164,0.6454493403434753
0.06,0.11,23.80046272277832,0.6407815217971802
0.06,0.12,23.735654830932617,0.6370978355407715
0.06,0.13,23.682498931884766,0.633850634098053
0.06,0.14,23.639850616455078,0.6311106085777283
0.06,0.15,23.605192184448242,0.6288438439369202
0.06,0.16,23.575077056884766,0.6269931197166443
0.06,0.17,23.54975700378418,0.6255396604537964
0.06,0.18,23.52845573425293,0.6243833899497986
0.06,0.19,23.508790969848633,0.6233185529708862
0.06,0.2,23.489564895629883,0.6221935153007507
0.07,0.0,23.995786666870117,0.6220551133155823
0.07,0.01,25.387723922729492,0.7108119130134583
0.07,0.02,25.281126022338867,0.709966242313385
