lambda1_v,lambda0_w,psnr,ssim
0.0,0.0,31.15261459350586,0.6636826992034912
0.0,0.01,31.15261459350586,0.6636826992034912
0.0,0.02,31.15261459350586,0.6636826992034912
0.0,0.03,31.15261459350586,0.6636826992034912
0.0,0.04,31.15261459350586,0.6636826992034912
0.0,0.05,31.15261459350586,0.6636826992034912
0.0,0.06,31.15261459350586,0.6636826992034912
0.0,0.07,31.15261459350586,0.6636826992034912
0.0,0.08,31.15261459350586,0.6636826992034912
0.0,0.09,31.15261459350586,0.6636826992034912
0.0,0.1,31.15261459350586,0.6636826992034912
0.0,0.11,31.15261459350586,0.6636826992034912
0.0,0.12,31.15261459350586,0.6636826992034912
0.0,0.13,31.15261459350586,0.6636826992034912
0.0,0.14,31.15261459350586,0.6636826992034912
0.0,0.15,31.15261459350586,0.6636826992034912
0.0,0.16,31.15261459350586,0.6636826992034912
0.0,0.17,31.15261459350586,0.6636826992034912
0.0,0.18,31.15261459350586,0.6636826992034912
0.0,0.19,31.15261459350586,0.6636826992034912
0.0,0.2,31.15261459350586,0.6636826992034912
0.01,0.0,31.151233673095703,0.663654088973999
0.01,0.01,32.653053283691406,0.7361013889312744
0.01,0.02,32.780914306640625,0.7431737184524536
0.01,0.03,32.657352447509766,0.7384538650512695
0.01,0.04,32.57123947143555,0.7345960140228271
0.01,0.05,32.53488540649414,0.7329574823379517
0.01,0.06,32.51617431640625,0.7320624589920044
0.01,0.07,32.51161193847656,0.7318660020828247
0.01,0.08,32.51092529296875,0.7318593263626099
0.01,0.09,32.51091003417969,0.7318500280380249
0.01,0.1,32.51091003417969,0.7318500280380249
0.01,0.11,32.51091003417969,0.7318500280380249
0.01,0.12,32.51091003417969,0.7318500280380249
0.01,0.13,32.51091003417969,0.7318500280380249
0.01,0.14,32.51091003417969,0.7318500280380249
0.01,0.15,32.51091003417969,0.7318500280380249
0.01,0.16,32.51091003417969,0.7318500280380249
0.01,0.17,32.51091003417969,0.7318500280380249
0.01,0.18,32.51091003417969,0.7318500280380249
0.01,0.19,32.51091003417969,0.7318500280380249
0.01,0.2,32.51091003417969,0.7318500280380249
0.02,0.0,31.151233673095703,0.6636540293693542
