lambda,psnr,ssim
0.0,23.997573852539062,0.6220754981040955
0.001,24.58832359313965,0.6566506624221802
0.002,24.925989151000977,0.6764588952064514
0.003,25.142717361450195,0.6876426339149475
0.004,25.275760650634766,0.6927803754806519
0.005,25.357810974121094,0.6950479745864868
0.006,25.4035587310791,0.6958541870117188
0.007,25.420927047729492,0.6961308121681213
0.008,25.418476104736328,0.695556640625
0.009000000000000001,25.40222930908203,0.693457841873169
0.01,25.38028335571289,0.6903456449508667
0.011,25.353378295898438,0.6867239475250244
0.012,25.322208404541016,0.682901918888092
0.013000000000000001,25.286842346191406,0.679297149181366
0.014,25.248252868652344,0.6761243343353271
0.015,25.207895278930664,0.6730917692184448
0.016,25.167158126831055,0.6702153086662292
0.017,25.128032684326172,0.6678587794303894
0.018000000000000002,25.088581085205078,0.6658921837806702
0.019,25.049518585205078,0.6644558310508728
0.02,25.00943374633789,0.6635249853134155
0.021,24.969425201416016,0.6627416610717773
0.022,24.93046760559082,0.6621053814888
0.023,24.89447021484375,0.6617274284362793
0.024,24.860105514526367,0.6614435315132141
0.025,24.826128005981445,0.6610630750656128
0.026000000000000002,24.792055130004883,0.6605291366577148
0.027,24.757665634155273,0.6599584221839905
0.028,24.723712921142578,0.6594675183296204
0.029,24.691410064697266,0.6590521931648254
0.03,24.660154342651367,0.658661425113678
0.031,24.629600524902344,0.6583241820335388
0.032,24.599851608276367,0.6580922603607178
0.033,24.570913314819336,0.6579800248146057
0.034,24.541839599609375,0.6579599380493164
0.035,24.51279640197754,0.6579363942146301
0.036000000000000004,24.48372459411621,0.6577991843223572
0.037,24.454849243164062,0.6575881838798523
0.038,24.42658042907715,0.6573293805122375
0.039,24.399133682250977,0.6571005582809448
0.04,24.371904373168945,0.6568795442581177
0.041,24.345088958740234,0.6566618084907532
0.042,24.31875228881836,0.6565075516700745
0.043000000000000003,24.2932071685791,0.6563982367515564
0.044,24.268217086791992,0.6562729477882385
0.045,24.243257522583008,0.6561190485954285
0.046,24.218017578125,0.655931830406189
0.047,24.192737579345703,0.6557084321975708
0.048,24.167797088623047,0.6554619669914246
0.049,24.14318084716797,0.6551841497421265
0.05,24.118911743164062,0.6549056768417358
0.051000000000000004,24.095073699951172,0.6546239256858826
0.052000000000000005,24.071338653564453,0.6543347835540771
0.053,24.04773712158203,0.6540510654449463
0.054,24.024494171142578,0.6537383198738098
0.055,24.001983642578125,0.6533977389335632
0.056,23.97990608215332,0.6530317664146423
0.057,23.95780372619629,0.6526370048522949
0.058,23.935827255249023,0.6522216796875
0.059000000000000004,23.91444206237793,0.6518309116363525
0.06,23.893712997436523,0.6514653563499451
0.061,23.87298583984375,0.6510642170906067
0.062,23.85219383239746,0.6506307125091553
0.063,23.83151626586914,0.6501879096031189
0.064,23.810997009277344,0.6497282385826111
0.065,23.790525436401367,0.6492448449134827
0.066,23.77015495300293,0.6487623453140259
0.067,23.74983024597168,0.6482752561569214
0.068,23.729694366455078,0.6477887630462646
0.069,23.709802627563477,0.6473101377487183
0.07,23.690217971801758,0.6468557715415955
0.07100000000000001,23.67129898071289,0.646465539932251
0.07200000000000001,23.65274429321289,0.646086573600769
0.073,23.634267807006836,0.6457154750823975
0.074,23.61623191833496,0.6453688144683838
0.075,23.59855842590332,0.6450092196464539
0.076,23.581111907958984,0.6446377635002136
0.077,23.563745498657227,0.6442613005638123
0.078,23.546546936035156,0.6439065337181091
0.079,23.530004501342773,0.643576979637146
0.08,23.513792037963867,0.643227219581604
0.081,23.4978084564209,0.6428496241569519
0.082,23.481910705566406,0.6424517631530762
0.083,23.466020584106445,0.6420803666114807
0.084,23.450498580932617,0.6417436003684998
0.085,23.43524169921875,0.641434371471405
0.08600000000000001,23.419878005981445,0.6411463022232056
0.08700000000000001,23.404733657836914,0.6408599615097046
0.088,23.389774322509766,0.6405880451202393
0.089,23.37504768371582,0.640328049659729
0.09,23.360401153564453,0.6400716304779053
0.091,23.3458309173584,0.6398026943206787
0.092,23.331554412841797,0.6395421624183655
0.093,23.31729507446289,0.6392797231674194
0.094,23.303346633911133,0.6390236020088196
0.095,23.289642333984375,0.6387819647789001
0.096,23.27629852294922,0.6385487914085388
0.097,23.26310920715332,0.6383107900619507
0.098,23.249923706054688,0.6380648016929626
0.099,23.236873626708984,0.6378161311149597
0.1,23.22382926940918,0.6375555396080017
0.101,23.21070671081543,0.637320876121521
0.10200000000000001,23.197612762451172,0.6371074318885803
0.10300000000000001,23.184511184692383,0.6369246244430542
0.10400000000000001,23.171470642089844,0.6367688775062561
0.105,23.158504486083984,0.636622428894043
0.106,23.145578384399414,0.6364626884460449
0.107,23.13259506225586,0.6362809538841248
0.108,23.11983871459961,0.6360949873924255
0.109,23.107315063476562,0.6359147429466248
0.11,23.094932556152344,0.6357440948486328
0.111,23.082651138305664,0.6355965733528137
0.112,23.0704402923584,0.6354567408561707
0.113,23.058391571044922,0.6353182196617126
0.114,23.046422958374023,0.6351887583732605
0.115,23.034608840942383,0.6350740790367126
0.116,23.02288818359375,0.6349649429321289
0.117,23.01110076904297,0.6348581314086914
0.11800000000000001,22.99918556213379,0.6347474455833435
0.11900000000000001,22.987272262573242,0.6346273422241211
0.12,22.975370407104492,0.6344831585884094
0.121,22.963529586791992,0.6343282461166382
0.122,22.95174217224121,0.634174108505249
0.123,22.940021514892578,0.6340270638465881
0.124,22.928333282470703,0.6338719129562378
0.125,22.91677474975586,0.6337169408798218
0.126,22.90520668029785,0.6335569620132446
0.127,22.893714904785156,0.6333906650543213
0.128,22.882511138916016,0.633219838142395
0.129,22.871395111083984,0.6330413818359375
0.13,22.860279083251953,0.6328510046005249
0.131,22.849164962768555,0.6326481103897095
0.132,22.838035583496094,0.6324267983436584
0.133,22.82685661315918,0.6321841478347778
0.134,22.815628051757812,0.6319160461425781
0.135,22.80434226989746,0.6316236257553101
0.136,22.792993545532227,0.6313098073005676
0.137,22.78155517578125,0.6309747099876404
0.138,22.770095825195312,0.6306242346763611
0.139,22.7586727142334,0.6302599906921387
0.14,22.747268676757812,0.6298849582672119
0.14100000000000001,22.735937118530273,0.6295002102851868
0.14200000000000002,22.72484588623047,0.6291078329086304
0.14300000000000002,22.713918685913086,0.6287079453468323
0.14400000000000002,22.703134536743164,0.6282992959022522
0.145,22.69246482849121,0.6278870105743408
0.146,22.681913375854492,0.6274651288986206
0.147,22.671422958374023,0.6270296573638916
0.148,22.661039352416992,0.6265864372253418
0.149,22.6507625579834,0.6261348128318787
0.15,22.640501022338867,0.6256790161132812
0.151,22.63024139404297,0.6252231597900391
0.152,22.61998176574707,0.6247644424438477
0.153,22.609718322753906,0.6243013143539429
0.154,22.599458694458008,0.6238365769386292
0.155,22.58921241760254,0.6233765482902527
0.156,22.579055786132812,0.6229216456413269
0.157,22.56903076171875,0.622477114200592
0.158,22.559101104736328,0.622040867805481
0.159,22.54912757873535,0.6216058135032654
0.16,22.53909683227539,0.6211713552474976
0.161,22.52901840209961,0.6207331418991089
0.162,22.51906394958496,0.6203057169914246
0.163,22.509302139282227,0.6198948621749878
0.164,22.499719619750977,0.6194925308227539
0.165,22.490169525146484,0.61909019947052
0.166,22.480587005615234,0.6186926960945129
0.167,22.471071243286133,0.6183058619499207
0.168,22.4615478515625,0.6179218292236328
0.169,22.452070236206055,0.617540180683136
0.17,22.442609786987305,0.6171637773513794
0.171,22.43320655822754,0.6168016791343689
0.17200000000000001,22.42385482788086,0.6164517998695374
0.17300000000000001,22.41466522216797,0.6161122918128967
0.17400000000000002,22.40557861328125,0.6157764792442322
0.17500000000000002,22.396533966064453,0.6154439449310303
0.176,22.38749885559082,0.6151184439659119
0.177,22.37854766845703,0.6148017644882202
0.178,22.369674682617188,0.614488959312439
0.179,22.360836029052734,0.6141782402992249
0.18,22.352048873901367,0.613867998123169
0.181,22.343305587768555,0.6135554909706116
0.182,22.334556579589844,0.613239049911499
0.183,22.325838088989258,0.6129237413406372
0.184,22.317153930664062,0.6126074194908142
0.185,22.308488845825195,0.6122921109199524
0.186,22.299833297729492,0.6119770407676697
0.187,22.291166305541992,0.6116573810577393
0.188,22.28245735168457,0.6113293170928955
0.189,22.27373695373535,0.6109930872917175
0.19,22.264999389648438,0.6106519103050232
0.191,22.256229400634766,0.6103110313415527
0.192,22.247455596923828,0.6099741458892822
0.193,22.238727569580078,0.6096413135528564
0.194,22.230066299438477,0.6093159317970276
0.195,22.22144889831543,0.6090016961097717
0.196,22.212831497192383,0.6086975336074829
0.197,22.20427703857422,0.6084082126617432
0.198,22.195796966552734,0.6081281304359436
0.199,22.187366485595703,0.607853889465332
0.2,22.178951263427734,0.6075846552848816
