lambda,psnr,ssim
0.0,31.15261459350586,0.6636826992034912
0.001,31.675750732421875,0.6886270046234131
0.002,31.997573852539062,0.707813024520874
0.003,32.217613220214844,0.7236910462379456
0.004,32.36258316040039,0.7366651296615601
0.005,32.46046829223633,0.7475818395614624
0.006,32.52252197265625,0.756299614906311
0.007,32.556068420410156,0.7631328105926514
0.008,32.57107925415039,0.7685515880584717
0.009000000000000001,32.5726432800293,0.7728520631790161
0.01,32.567039489746094,0.7761582136154175
0.011,32.554710388183594,0.7786675691604614
0.012,32.537776947021484,0.780548095703125
0.013000000000000001,32.51737976074219,0.7819503545761108
0.014,32.4940185546875,0.7829828262329102
0.015,32.468746185302734,0.7838171720504761
0.016,32.44285202026367,0.7844451665878296
0.017,32.41762161254883,0.7849140167236328
0.018000000000000002,32.39103698730469,0.7852107882499695
0.019,32.3637809753418,0.7853673696517944
0.02,32.33527755737305,0.7853609323501587
0.021,32.30644226074219,0.7852246761322021
0.022,32.278106689453125,0.7850430011749268
0.023,32.251708984375,0.7849156856536865
0.024,32.22643280029297,0.7847909927368164
0.025,32.20093536376953,0.7846217155456543
0.026000000000000002,32.17512512207031,0.7844162583351135
0.027,32.149085998535156,0.7841809988021851
0.028,32.1232795715332,0.7839169502258301
0.029,32.09867477416992,0.7836585640907288
0.03,32.0748405456543,0.7833752036094666
0.031,32.0516242980957,0.7830676436424255
0.032,32.029075622558594,0.7827573418617249
0.033,32.007049560546875,0.7824498414993286
0.034,31.98468780517578,0.7821074724197388
0.035,31.962074279785156,0.7817344665527344
0.036000000000000004,31.93954849243164,0.7813424468040466
0.037,31.917091369628906,0.7809144258499146
0.038,31.89498519897461,0.7804927825927734
0.039,31.873382568359375,0.7800840735435486
0.04,31.851972579956055,0.779701828956604
0.041,31.830795288085938,0.7793236970901489
0.042,31.810054779052734,0.7789449691772461
0.043000000000000003,31.789875030517578,0.7785626649856567
0.044,31.77017593383789,0.7781736850738525
0.045,31.750411987304688,0.7777761220932007
0.046,31.730329513549805,0.7773566246032715
0.047,31.71015739440918,0.7769340872764587
0.048,31.690227508544922,0.7765145897865295
0.049,31.67051124572754,0.776105523109436
0.05,31.650997161865234,0.7756932377815247
0.051000000000000004,31.631729125976562,0.7752723693847656
0.052000000000000005,31.612335205078125,0.7748199701309204
0.053,31.59292221069336,0.77434241771698
0.054,31.573741912841797,0.7738659977912903
0.055,31.555130004882812,0.77339768409729
0.056,31.536758422851562,0.7729376554489136
0.057,31.518310546875,0.7724733352661133
0.058,31.49985694885254,0.7719914317131042
0.059000000000000004,31.481801986694336,0.7715162038803101
0.06,31.464271545410156,0.7710595726966858
0.061,31.446725845336914,0.7706058025360107
0.062,31.429119110107422,0.7701510190963745
0.063,31.411575317382812,0.7697023153305054
0.064,31.394119262695312,0.7692692279815674
0.065,31.376710891723633,0.7688452005386353
0.066,31.35944366455078,0.7684276103973389
0.067,31.342126846313477,0.767999529838562
0.068,31.32486343383789,0.7675693035125732
0.069,31.30771255493164,0.7671341300010681
0.07,31.29067611694336,0.7666860222816467
0.07100000000000001,31.274133682250977,0.7662354707717896
0.07200000000000001,31.25787353515625,0.7657957673072815
0.073,31.241703033447266,0.7653511762619019
0.074,31.225961685180664,0.7649074792861938
0.075,31.210559844970703,0.7644551992416382
0.076,31.1953125,0.7639955282211304
0.077,31.180118560791016,0.7635287046432495
0.078,31.165103912353516,0.7630560398101807
0.079,31.150625228881836,0.762579083442688
0.08,31.136398315429688,0.762090802192688
0.081,31.12252426147461,0.7616066336631775
0.082,31.108768463134766,0.7611247897148132
0.083,31.095088958740234,0.7606457471847534
0.084,31.081680297851562,0.7601691484451294
0.085,31.06842041015625,0.7596875429153442
0.08600000000000001,31.054969787597656,0.7591972351074219
0.08700000000000001,31.041645050048828,0.7587003707885742
0.088,31.02849578857422,0.7582122683525085
0.089,31.015499114990234,0.7577267289161682
0.09,31.00257110595703,0.7572404146194458
0.091,30.989643096923828,0.7567422389984131
0.092,30.976896286010742,0.7562515735626221
0.093,30.964092254638672,0.7557607889175415
0.094,30.951496124267578,0.755268931388855
0.095,30.93912124633789,0.754773736000061
0.096,30.927139282226562,0.754281759262085
0.097,30.915294647216797,0.7537897825241089
0.098,30.90345001220703,0.7532986998558044
0.099,30.891693115234375,0.7528145909309387
0.1,30.879928588867188,0.7523346543312073
0.101,30.868074417114258,0.7518526315689087
0.10200000000000001,30.85626983642578,0.7513688802719116
0.10300000000000001,30.84446907043457,0.7508834004402161
0.10400000000000001,30.832714080810547,0.7503924369812012
0.105,30.821022033691406,0.7498981952667236
0.106,30.809371948242188,0.7494012117385864
0.107,30.797731399536133,0.7489019632339478
0.108,30.786325454711914,0.7484068870544434
0.109,30.77513885498047,0.7479133605957031
0.11,30.764057159423828,0.7474180459976196
0.111,30.75306510925293,0.7469221353530884
0.112,30.742122650146484,0.7464276552200317
0.113,30.731353759765625,0.7459428310394287
0.114,30.720718383789062,0.7454710006713867
0.115,30.71023178100586,0.7450153231620789
0.116,30.699790954589844,0.7445688247680664
0.117,30.68927001953125,0.7441263198852539
0.11800000000000001,30.678634643554688,0.7436865568161011
0.11900000000000001,30.668018341064453,0.7432520389556885
0.12,30.65741539001465,0.7428232431411743
0.121,30.646875381469727,0.7424008250236511
0.122,30.636423110961914,0.7419859170913696
0.123,30.626060485839844,0.7415810227394104
0.124,30.61574363708496,0.7411825656890869
0.125,30.605545043945312,0.7407957911491394
0.126,30.595333099365234,0.7404177784919739
0.127,30.585180282592773,0.7400473356246948
0.128,30.57526397705078,0.739685595035553
0.129,30.56539535522461,0.7393319606781006
0.13,30.555503845214844,0.7389811277389526
0.131,30.54559326171875,0.7386309504508972
0.132,30.535633087158203,0.7382827997207642
0.133,30.52560043334961,0.7379367351531982
0.134,30.51552963256836,0.7375960350036621
0.135,30.505407333374023,0.7372621297836304
0.136,30.495220184326172,0.7369363307952881
0.137,30.48497200012207,0.7366173267364502
0.138,30.474720001220703,0.7363033294677734
0.139,30.464527130126953,0.7359966039657593
0.14,30.454341888427734,0.7356960773468018
0.14100000000000001,30.44422149658203,0.7354050278663635
0.14200000000000002,30.434307098388672,0.7351236343383789
0.14300000000000002,30.424510955810547,0.7348442077636719
0.14400000000000002,30.414813995361328,0.7345666289329529
0.145,30.405227661132812,0.7342919111251831
0.146,30.39577865600586,0.734020471572876
0.147,30.38640594482422,0.7337507605552673
0.148,30.37714385986328,0.7334851622581482
0.149,30.367982864379883,0.733227014541626
0.15,30.358821868896484,0.7329748868942261
0.151,30.34964942932129,0.7327265739440918
0.152,30.340496063232422,0.7324806451797485
0.153,30.33135414123535,0.7322349548339844
0.154,30.32221221923828,0.7319893836975098
0.155,30.313095092773438,0.7317448258399963
0.156,30.304067611694336,0.7315002679824829
0.157,30.295143127441406,0.73125821352005
0.158,30.286287307739258,0.7310187816619873
0.159,30.27737808227539,0.7307774424552917
0.16,30.26841163635254,0.730534553527832
0.161,30.25938606262207,0.7302877902984619
0.162,30.250442504882812,0.7300434708595276
0.163,30.24166488647461,0.7298043966293335
0.164,30.233051300048828,0.7295706272125244
0.165,30.22446060180664,0.7293354272842407
0.166,30.215835571289062,0.7290979027748108
0.167,30.20724105834961,0.7288626432418823
0.168,30.198623657226562,0.728625476360321
0.169,30.19001579284668,0.7283855676651001
0.17,30.181411743164062,0.7281420230865479
0.171,30.172836303710938,0.727895975112915
0.17200000000000001,30.164302825927734,0.7276495695114136
0.17300000000000001,30.155893325805664,0.7274047136306763
0.17400000000000002,30.147567749023438,0.7271590232849121
0.17500000000000002,30.139253616333008,0.7269105911254883
0.176,30.130935668945312,0.7266598343849182
0.177,30.12268829345703,0.726409912109375
0.178,30.114505767822266,0.72616046667099
