lambda,psnr,ssim
0.0,31.15261459350586,0.6636826992034912
0.01,32.567039489746094,0.7761582136154175
0.02,32.33527755737305,0.7853609323501587
0.03,32.0748405456543,0.7833752036094666
0.04,31.851972579956055,0.779701828956604
0.05,31.650997161865234,0.7756932377815247
0.06,31.464271545410156,0.7710595726966858
0.07,31.29067611694336,0.7666860222816467
0.08,31.136398315429688,0.762090802192688
0.09,31.00257110595703,0.7572404146194458
0.1,30.879928588867188,0.7523346543312073
0.11,30.764057159423828,0.7474180459976196
0.12,30.65741539001465,0.7428232431411743
0.13,30.555503845214844,0.7389811277389526
0.14,30.454341888427734,0.7356960773468018
0.15,30.358821868896484,0.7329748868942261
0.16,30.26841163635254,0.730534553527832
0.17,30.181411743164062,0.7281420230865479
0.18,30.098247528076172,0.725656270980835
0.19,30.018043518066406,0.7229119539260864
0.2,29.937946319580078,0.7196981310844421
0.21,29.85851287841797,0.7160700559616089
0.22,29.78103256225586,0.7122811675071716
0.23,29.7060604095459,0.708734393119812
0.24,29.63576889038086,0.7056262493133545
0.25,29.56876564025879,0.7031114101409912
0.26,29.503437042236328,0.7011959552764893
0.27,29.440458297729492,0.6998684406280518
0.28,29.381282806396484,0.6988370418548584
0.29,29.322921752929688,0.6977809071540833
0.3,29.267803192138672,0.6967438459396362
0.31,29.218162536621094,0.695838451385498
0.32,29.173879623413086,0.6951122283935547
0.33,29.131832122802734,0.6944014430046082
0.34,29.090757369995117,0.6935073733329773
0.35000000000000003,29.052085876464844,0.6924599409103394
0.36,29.019264221191406,0.6914690732955933
0.37,28.98885726928711,0.6905056238174438
0.38,28.956514358520508,0.689476490020752
0.39,28.92167091369629,0.6883870363235474
0.4,28.88604164123535,0.6873271465301514
0.41000000000000003,28.850360870361328,0.6863476037979126
0.42,28.81296157836914,0.6854164004325867
0.43,28.77520751953125,0.6845088005065918
0.44,28.738059997558594,0.6835722923278809
0.45,28.702409744262695,0.6825920343399048
0.46,28.669593811035156,0.681585967540741
0.47000000000000003,28.639375686645508,0.6805902719497681
0.48,28.611225128173828,0.6796869039535522
0.49,28.585086822509766,0.6789181232452393
0.5,28.560344696044922,0.678176760673523
0.51,28.537574768066406,0.6774550676345825
0.52,28.51784324645996,0.6768060326576233
0.53,28.500560760498047,0.6762300729751587
0.54,28.484142303466797,0.6757137775421143
0.55,28.468257904052734,0.6752514243125916
0.56,28.45263671875,0.674829363822937
0.5700000000000001,28.43712615966797,0.6744217872619629
0.58,28.422019958496094,0.6740239262580872
0.59,28.408193588256836,0.6736807823181152
0.6,28.396190643310547,0.6734311580657959
0.61,28.386228561401367,0.6732679605484009
0.62,28.377328872680664,0.6731439232826233
0.63,28.369029998779297,0.6730635166168213
0.64,28.361141204833984,0.6730123162269592
0.65,28.353099822998047,0.6729599237442017
0.66,28.345062255859375,0.6728978157043457
0.67,28.337200164794922,0.6728076934814453
0.68,28.32959747314453,0.6726884841918945
0.6900000000000001,28.32205581665039,0.6725378632545471
0.7000000000000001,28.31456184387207,0.672365665435791
0.71,28.307327270507812,0.672182559967041
0.72,28.300487518310547,0.6720141172409058
0.73,28.29410171508789,0.6718484163284302
0.74,28.28803825378418,0.6716738939285278
0.75,28.2823486328125,0.671496570110321
0.76,28.276866912841797,0.671294093132019
0.77,28.271514892578125,0.6710701584815979
0.78,28.266237258911133,0.6708416938781738
0.79,28.26107406616211,0.6706194877624512
0.8,28.256027221679688,0.6704044342041016
0.81,28.251089096069336,0.6701987981796265
0.8200000000000001,28.246362686157227,0.6700001358985901
0.8300000000000001,28.241748809814453,0.6697982549667358
0.84,28.23712158203125,0.6695861220359802
0.85,28.232574462890625,0.6693668961524963
0.86,28.228137969970703,0.6691404581069946
0.87,28.223876953125,0.6689136028289795
0.88,28.219879150390625,0.6686921715736389
0.89,28.216094970703125,0.6684748530387878
0.9,28.212390899658203,0.6682674884796143
0.91,28.20875358581543,0.668075680732727
0.92,28.205188751220703,0.6679015159606934
0.93,28.20157241821289,0.6677429676055908
0.9400000000000001,28.19797134399414,0.6676025986671448
0.9500000000000001,28.19432830810547,0.6674767732620239
0.96,28.190555572509766,0.6673635840415955
0.97,28.186771392822266,0.6672630310058594
0.98,28.1829891204834,0.6671716570854187
0.99,28.179161071777344,0.6670892834663391
1.0,28.17537498474121,0.6670156717300415
